factsheet,topic,attribute,subattribute,#,value
AMPERE WP3,project,,,,
,guiding questions,preamble,,,"The AMPERE project aimed to improve our understanding of possible pathways toward medium- and long-term climate targets at the global and European levels. The project assessed key aspects of the mitigation challenge in a world of delayed and fragmented climate policy. WP3 specifically focused on fragmented policy regimes and the effects for front-runners.
"
,,question,,1,What impacts do fragmented policy regimes (with a coalition of front-runners and staged accession of others) have on achievability of long-term targets and global energy systems?
,,question,,2,What advantages and disadvantages have the frontrunners and late-comers respectively?
,,question,,3,How much carbon leakage is caused by fragmented policies?
,results,preamble,,,This study explores a situation of staged accession to a global climate policy regime from the current situation of regionally fragmented and moderate climate action. The analysis is based on scenarios in which a front runner coalition – the EU or the EU and China – embarks on immediate ambitious climate action while the rest of the world makes a transition to a global climate regime between 2030 and 2050. We assume that the ensuing regime involves strong mitigation efforts but does not require late joiners to compensate for their initially higher emissions.
,,insight,,1,"Although staged accession can achieve significant reductions of global warming, the resulting climate outcome is unlikely to be consistent with the goal of limiting global warming to 2 degrees. The addition of China to the front runner coalition can reduce pre-2050 excess emissions by 20–30%, increasing the likelihood of staying below2 degrees."
,,insight,,2,"Not accounting for potential co-benefits, the cost of front runner action is found to be lower for the EU than for China."
,,insight,,3,Regions that delay their accession to the climate regime face a trade-off between reduced short term costs and higher transitional requirements due to larger carbon lock-ins and more rapidly increasing carbon prices during the accession period.
,scenarios,preamble,,,"The unique feature about WP3 scenarios are those scenarios with a period of high ambition in front-runner countries (EU or EU and China) and later following of others, as well as ""reconsideration"" scenarios, where front-runners shift back to no climate policy."
,,scenario,name,1,450
,,scenario,description,1,The benchmark scenario with optimal harmonized policies to reach stabilization of concentration of CO2e at 450ppm.
,,scenario,name,2,450P-CE
,,scenario,description,2,Staged accession scenario with front-runners EU and China (equal price as in 450)
,,scenario,name,3,450P-EU
,,scenario,description,3,Staged accession scenario with front-runner EU (equal price as in 450)
,,scenario,name,4,550
,,scenario,description,4,The benchmark scenario with optimal harmonized policies to reach stabilization of concentration of CO2e at 550ppm.
,,scenario,name,5,550P-EU
,,scenario,description,5,Staged accession scenario with front-runner EU (equal price as in 550)
,,scenario,name,6,Base
,,scenario,description,6,No policy baseline
,,scenario,name,7,Ref
,,scenario,name,7,Reference policies (based on regional technology targets)
,,scenario,name,8,CF450
,,scenario,description,8,"The benchmark scenario with optimal harmonized policies to reach stabilization of concentration of CO2e at 450ppm, without technology targets."
,,scenario,name,9,CF550
,,scenario,description,9,"The benchmark scenario with optimal harmonized policies to reach stabilization of concentration of CO2e at 550ppm, without technology targets."
,,scenario,name,10,RefP-EUback
,,scenario,description,10,Reconsideration scenario with EU as front-runner but instead of accession sliding back of front-runner ambition to refernce policies.
,,scenario,name,11,RefP-CEback
,,scenario,description,11,Reconsideration scenario with EU and China as front-runners but instead of accession sliding back of front-runner ambition to refernce policies.
,,scenario,name,12,Base-EUback
,,scenario,description,12,Reconsideration scenario with EU as front-runner but instead of accession sliding back of front-runner ambition to baseline.
,data sources,source,name,1,AMPERE database 
,,source,link,1,https://tntcat.iiasa.ac.at/AMPEREDB
,publications,reference,citation,1,Kriegler et al. (2015)
,,reference,type,1,journal article
,,reference,doi,1,10.1016/j.techfore.2013.09.021
,,reference,full,1,"KRIEGLER et al.. 2015. Making or breaking climate targets: The AMPERE study on staged accession scenarios for climate policy. Technological Forecasting and Social Change, 90, 24-44."
