factsheet,topic,attribute,subattribute,#,value
CEMICS,project,,,,
CEMICS,guiding questions,preamble,,,"CEMICS is driven by the hypothesis that society will not take decisions on climate engineering (CE) in isolation, but in consideration of the whole portfolio of existing climate policy options. The work within that project puts CE in the context of mitigation by exploring synergies, trade-offs, and side-effects of different CDR methods.
Please note: The project itself investigated the options of CE in a broader context also towards potential synergies or ethical aspects. This research however is not based on scenarios and thus not treated here. "
,,question,,1,How much CDR is at least necessary to achieve the Paris climate targets?
,,question,,2,How does this minimum CDR requirement depend on short-term climate policy and medium-term emission reductions?
,results,preamble,,,"Strefler et al. 2018: There are major concerns about the sustainability of large-scale deployment of carbon dioxide removal (CDR) technologies. It is therefore an urgent question to what extent CDR will be needed to implement the long-term ambition of the Paris Agreement, and how this depends on short-term climate policy. In this paper we show that ambitious near-term mitigation significantly decreases CDR requirements to keep the Paris climate targets within reach."
,,insight,,1,Following the NDCs until 2030 requires then both fast CO2 emission reductions until 2050 and high amounts of CDR to achieve the 2°C-target. Reducing 2030 emissions by 20% below NDC levels already alleviates the trade-off between high transitional challenges and high CDR deployment.
,,insight,,2,"In order to achieve 2°C entirely without CDR, emissions have to be roughly halved until 2030 and again every decade until 2050."
,,insight,,3,Transitional challenges can only be kept in check if at least 5 Gt CO2/yr CDR are available in any year. At least 8 Gt CO2/yr CDR are necessary in the long term to achieve 1.5°C and more than 15 Gt CO2/yr to keep transitional challenges in bounds.
,,preamble,,,"Kreidenweis et al., 2018 (data is NOT available in any database): This study assessed global and regional food price impacts of afforestation. Afforestation was incentivized by a globally uniform reward for carbon uptake in the terrestrial biosphere."
,,insight,,1,This resulted in large-scale afforestation (2580 Mha globally) and substantial carbon sequestration (860 GtCO2) up to the end of the century.
,,insight,,2,"However, it was also associated with an increase in food prices of about 80% by 2050 and a more than fourfold increase by 2100. When afforestation was restricted to the tropics the food price response was substantially reduced, while still almost 60% cumulative carbon sequestration was achieved."
,scenarios,preamble,,,"CEMICS-[climate target]-[annual CDR availability in Gt CO2]
[climate target]: 2.0 or 1.5 degree temperature increase in 2100
[annual CDR availability in Gt CO2]: maximum of 8, 12, 20 Gt CO2 CDR as sum of all CDR technologies per year available"
,,scenario,name,1,CEMICS-Ref
,,scenario,description,1,Reference scenario without climate policy
,,scenario,name,2,CEMICS-2.0-CDR8
,,scenario,description,2,"1.5°C target formulated as a total forcing target of 2.0 W/m^2 in 2100, with a maximum of 8 Gt CO2 CDR (i.e. sum of afforestation, BECCS, DACCS) per year"
,,scenario,name,3,CEMICS-2.0-CDR12
,,scenario,description,3,"1.5°C target formulated as a total forcing target of 2.0 W/m^2 in 2100, with a maximum of 12 Gt CO2 CDR (i.e. sum of afforestation, BECCS, DACCS) per year"
,,scenario,name,4,CEMICS-2.0-CDR20
,,scenario,description,4,"1.5°C target formulated as a total forcing target of 2.0 W/m^2 in 2100, with a maximum of 20 Gt CO2 CDR (i.e. sum of afforestation, BECCS, DACCS) per year"
,,scenario,name,2,CEMICS-2.0-CDR8
,,scenario,description,2,"2°C target formulated as a total forcing target of 2.6 W/m^2 in 2100, with a maximum of 8 Gt CO2 CDR (i.e. sum of afforestation, BECCS, DACCS) per year"
,,scenario,name,3,CEMICS-2.0-CDR12
,,scenario,description,3,"2°C target formulated as a total forcing target of 2.6 W/m^2 in 2100, with a maximum of 12 Gt CO2 CDR (i.e. sum of afforestation, BECCS, DACCS) per year"
,,scenario,name,4,CEMICS-2.0-CDR20
,,scenario,description,4,"2°C target formulated as a total forcing target of 2.6 W/m^2 in 2100, with a maximum of 20 Gt CO2 CDR (i.e. sum of afforestation, BECCS, DACCS) per year"
,data sources,source,name,1,SR1.5 database
,,source,link,1,https://db1.ene.iiasa.ac.at/IPCCSR15DB/dsd?Action=htmlpage&page=welcome
,publications,reference,citation,1,"Strefler et al. (2018), ""Potential and costs of carbon dioxide removal by enhanced weathering of rocks"". Enivronmental Research Letters 13, 3"
,,reference,citation,2,"Strefler et al. (2018), ""Between Scylla and Charybdis: Delayed mitigation narrows the passage between large-scale CDR and high costs"". Enivronmental Research Letters 13, 4"
,,reference,citation,3,"Stelzer, Harald; Schuppert, Fabian (2016), “How Much Risk Ought We to Take? Exploring the Possibilities of Risk-Sensitive Consequentialism in the Context of Climate Engineering”. In: Special Issue of Environmental Values, vol. 25, no. 1: The Ethics of Engineering the Climate"
,,reference,citation,4,"Kreidenweis et al. (2016), "" Afforestation to mitigate climate change: impacts on food prices under consideration of albedo effects"". Enivronmental Research Letters 11, 8"
,models,preamble,,,
,,model,name,1,REMIND
,,model,version,1,1.7
,,model,name,2,MAgPIE
,,model,version,2,
,year,,,,2018
,keywords,keyword,,1,climate change
,,keyword,,2,carbon dioxide removal
,,keyword,,3,1.5°C
,,keyword,,4,afforestation
,,keyword,,5,BECCS
,,keyword,,6,direct air capture
,regional coverage,region,,1,World
,,region,,2,AFR
,,region,,3,CHN
,,region,,4,EUR
,,region,,5,IND
,,region,,6,JPN
,,region,,7,LAM
,,region,,8,MEA
,,region,,9,OAS
,,region,,10,ROW
,,region,,11,RUS
,,region,,12,USA
,time horizon,start,,,2005
,,end,,,2100
