factsheet,topic,attribute,subattribute,#,value
EMF 27,project,,,,
,guiding questions,preamble,,,The EMF27 study presents a first detailed assessments of the energy system transformation requirements for low stabilization in a large ensemble of leading global integrated assessment models.
,,question,,1,What energy system transformations are required to achieve stabilization of concentrations at 450ppm or 550ppm CO2eq in 2100?
,,question,,2,How do eight different assumptions on technology availability impact such stabilization scenarios?
,results,preamble,,,Limiting the atmospheric GHG concentration to 450 or 550 ppm CO2 equivalent by 2100 would require a decarbonization of the global energy system in the 21st century. Technology is a key element of climate mitigation.
,,insight,,1," Robust characteristics of the energy transformation are increased energy intensity improvements and the electrification of energy end use coupled with a fast decarbonization of the electricity sector. Non-electric energy end use is hardest to decarbonize, particularly in the transport sector. "
,,insight,,2,"Versatile technologies such as CCS and bioenergy are found to be most important, due in part to their combined ability to produce negative emissions."
,,insight,,3,The importance of individual low-carbon electricity technologies is more limited due to the many alternatives in the sector.
,,insight,,4,"The scale of the energy transformation is larger for the 450 ppm than for the 550 ppm CO2e target. As a result, the achievability and the costs of the 450 ppm target are more sensitive to variations in technology availability."
,scenarios,preamble,,,"Scenarios are differentiated along the policy assumption (prefixes “Base_” for no policy, “550_” for medium ambition stabilization, and “450_” for high ambition stabilization (~well below 2°C)), and along the technology availability assumption (suffixes “_FullTech” for full availability, “LowEI” for reduced Energy intensity, “NoCCS”, “_NucOff” for a nuclear phase-out, “_LimSW” for a limit of solar and wind of maximum 10% of power generation, “_LimBio” for max. 100 EJ bioenergy, “_Conv” for combined LimSW and LimBio, “_EERE” for combined LowEI, NucOff and NoCCS, and “_LimTech” for combined NoCCS, NucOff, LimSW and LimBio"
,,scenario,name,1,Base-FullTech
,,scenario,description,1,Counterfactual no-policy scenario with default full technology availability
,,scenario,name,2,Base-LowEI
,,scenario,description,2,Counterfactual no-policy scenario with assumption of low energy intensity
,,scenario,name,3,Base-LimBio
,,scenario,description,3,Counterfactual no-policy scenario with assumption of limited bio-energy availability (max 100EJ/yr)
,,scenario,name,4,Base-LimSW
,,scenario,description,4,Counterfactual no-policy scenario with assumption of limited integration of variable renewables (max 20% of total power generation)
,,scenario,name,5,Base-nucOff
,,scenario,description,5,Counterfactual no-policy scenario with assumption of nuclear phase-out (no new investments after 2015)
,,scenario,name,6,Base-LimTech
,,scenario,description,6,"Counterfactual no-policy scenario with combined assumption of noCCS, limBio, limSW, nucOff"
,,scenario,name,7,Base-EERE
,,scenario,description,7,"Counterfactual no-policy scenario with combined assumption of LowEI, nucOff and noCCS"
,,scenario,name,8,Base-Conv
,,scenario,description,8,Counterfactual no-policy scenario with combined assumption of limBio and limSW
,,scenario,name,9,550-FullTech
,,scenario,description,9,Scenario with stabilization of CO2eq concentration at 550ppm with default full technology availability
,,scenario,name,10,550-noCCS
,,scenario,description,10,Scenario with stabilization of CO2eq concentration at 550ppm with assumption of no CCS
,,scenario,name,11,550-LowEI
,,scenario,description,11,Scenario with stabilization of CO2eq concentration at 550ppm with assumption of low energy intensity
,,scenario,name,12,550-LimBio
,,scenario,description,12,Scenario with stabilization of CO2eq concentration at 550ppm with assumption of limited bio-energy availability (max 100EJ/yr)
,,scenario,name,13,550-LimSW
,,scenario,description,13,Scenario with stabilization of CO2eq concentration at 550ppm with assumption of limited integration of variable renewables (max 20% of total power generation)
,,scenario,name,14,550-nucOff
,,scenario,description,14,Scenario with stabilization of CO2eq concentration at 550ppm with assumption of nuclear phase-out (no new investments after 2015)
,,scenario,name,15,550-LimTech
,,scenario,description,15,"Scenario with stabilization of CO2eq concentration at 550ppm with combined assumption of noCCS, limBio, limSW, nucOff"
,,scenario,name,16,550-EERE
,,scenario,description,16,"Scenario with stabilization of CO2eq concentration at 550ppm with combined assumption of LowEI, nucOff and noCCS"
,,scenario,name,17,550-Conv
,,scenario,description,17,Scenario with stabilization of CO2eq concentration at 550ppm with combined assumption of limBio and limSW
,,scenario,name,18,450-FullTech
,,scenario,description,18,Scenario with stabilization of CO2eq concentration at 450ppm with default full technology availability
,,scenario,name,19,450-noCCS
,,scenario,description,19,Scenario with stabilization of CO2eq concentration at 450ppm with assumption of no CCS
,,scenario,name,20,450-LowEI
,,scenario,description,20,Scenario with stabilization of CO2eq concentration at 450ppm with assumption of low energy intensity
,,scenario,name,21,450-LimBio
,,scenario,description,21,Scenario with stabilization of CO2eq concentration at 450ppm with assumption of limited bio-energy availability (max 100EJ/yr)
,,scenario,name,22,450-LimSW
,,scenario,description,22,Scenario with stabilization of CO2eq concentration at 450ppm with assumption of limited integration of variable renewables (max 20% of total power generation)
,,scenario,name,23,450-nucOff
,,scenario,description,23,Scenario with stabilization of CO2eq concentration at 450ppm with assumption of nuclear phase-out (no new investments after 2015)
,,scenario,name,24,450-LimTech
,,scenario,description,24,"Scenario with stabilization of CO2eq concentration at 450ppm with combined assumption of noCCS, limBio, limSW, nucOff"
,,scenario,name,25,450-EERE
,,scenario,description,25,"Scenario with stabilization of CO2eq concentration at 450ppm with combined assumption of LowEI, nucOff and noCCS"
,,scenario,name,26,450-Conv
,,scenario,description,26,Scenario with stabilization of CO2eq concentration at 450ppm with combined assumption of limBio and limSW
,data sources,source,name,1,AR5 database
,,source,link,1,https://tntcat.iiasa.ac.at/AR5DB
,publications,reference,citation,1,Kriegler et al. (2014)
,,reference,type,1,journal article
,,reference,doi,1,10.1007/s10584-013-0953-7
,,reference,full,1,"Kriegler, E. et al. The role of technology for achieving climate policy objectives: overview of the EMF 27 study on global technology and climate policy strategies. Climatic Change 123, 353–367 (2014)."
,,reference,ris,1,"TY - JOUR
 TI - The role of technology for achieving climate policy objectives: overview of the EMF 27 study on global technology and climate policy strategies
 AU - Kriegler, Elmar
 AU - Weyant, John P.
 AU - Blanford, Geoffrey J.
 AU - Krey, Volker
 AU - Clarke, Leon
 AU - Edmonds, Jae
 AU - Fawcett, Allen
 AU - Luderer, Gunnar
 AU - Riahi, Keywan
 AU - Richels, Richard
 AU - Rose, Steven K.
 AU - Tavoni, Massimo
 AU - Vuuren, Detlef P. van
 T2 - Climatic Change
 AB - This article presents the synthesis of results from the Stanford Energy Modeling Forum Study 27, an inter-comparison of 18 energy-economy and integrated assessment models. The study investigated the importance of individual mitigation options such as energy intensity improvements, carbon capture and storage (CCS), nuclear power, solar and wind power and bioenergy for climate mitigation. Limiting the atmospheric greenhouse gas concentration to 450 or 550 ppm CO2 equivalent by 2100 would require a decarbonization of the global energy system in the 21st century. Robust characteristics of the energy transformation are increased energy intensity improvements and the electrification of energy end use coupled with a fast decarbonization of the electricity sector. Non-electric energy end use is hardest to decarbonize, particularly in the transport sector. Technology is a key element of climate mitigation. Versatile technologies such as CCS and bioenergy are found to be most important, due in part to their combined ability to produce negative emissions. The importance of individual low-carbon electricity technologies is more limited due to the many alternatives in the sector. The scale of the energy transformation is larger for the 450 ppm than for the 550 ppm CO2e target. As a result, the achievability and the costs of the 450 ppm target are more sensitive to variations in technology availability.
 DA - 2014///
 PY - 2014
 DO - 10.1007/s10584-013-0953-7
 DP - link.springer.com
 VL - 123
 IS - 3-4
 SP - 353
 EP - 367
 J2 - Climatic Change
 LA - en
 SN - 0165-0009, 1573-1480
 ST - The role of technology for achieving climate policy objectives
 UR - http://link.springer.com/article/10.1007/s10584-013-0953-7
 Y2 - 2014/03/05/15:40:27
 L1 - http://link.springer.com/content/pdf/10.1007%2Fs10584-013-0953-7.pdf
 L2 - http://link.springer.com/article/10.1007%2Fs10584-013-0953-7
 KW - Atmospheric Sciences
 KW - Climate Change/Climate Change Impacts
 ER -"
,,reference,citation,2,Krey et al. (2014)
,,reference,type,2,journal article
,,reference,doi,2,10.1007/s10584-013-0947-5
,,reference,full,2,Krey et al.. 2014. “Getting from Here to There – Energy Technology Transformation Pathways in the EMF27 Scenarios.” Climatic Change 123 (3–4): 369–82.
