factsheet,topic,attribute,subattribute,#,value
LIMITS,project,,,,
,guiding questions,preamble,,,"This study provides a novel and comprehensive model-based assessment of possible outcomes of the Durban
 Platform negotiations with a focus on emissions reduction requirements, the consistency with the 2°C target and
 global economic impacts."
,,question,,1,How do short-term policies (contrasting “lenient” with “stringent” bottom-up formulations) until 2020 impact the achievability of long-term stabilization at 450ppm or 500ppm CO2eq in 2100?
,,question,,2,What are the differences between scenarios following bottom-up policies until 2020 or 2030 before starting comprehensive coordinated action?
,,question,,3,How do mitigation costs for these pathways differ across regions?
,results,preamble,,,The study yields important insights on the distribution of mitigation costs across regions.
,,insight,,1,The challenges of implementing a long term target after a period of fragmented near-term climate policy can be significant as reflected in steep reductions of emissions intensity and transitional and long term economic impacts. 
,,,,2,"In particular, the challenges of adopting the target are significantly higher in 2030 than in 2020, both in terms of required emissions intensity decline rates and economic impacts. We conclude that an agreement on comprehensive emissions reductions to be implemented from 2020 onwards has particular significance for meeting long term climate policy objectives."
,,insight,,3,"Our results indicate that a policy with uniform carbon pricing and no transfer payments would yield an uneven distribution of policy costs, which would be lower than the global average for OECD countries, higher for developing economies and the highest, for energy exporters."
,scenarios,preamble,,,"Scenarios are differentiated into one no-policy baseline (“Base”), 2 fragmented policy scenarios (“RefPol” and “StrPol”), 2 immediate actions scenarios (“450” and “500”), and 5 delayed policy scenarios, out of which 4 assume comprehensive policies after 2020 (“RefPol-450”, “RefPol-500”, “StrPol-450”, “StrPol-500”) and one after 2030 (“RefPol2030-500”)"
,,scenario,name,1,Base
,,scenario,description,1,No-policy baseline
,,scenario,name,2,RefPol
,,scenario,description,2,Moderate reference policy scenario
,,scenario,name,3,StrPol
,,scenario,description,3,Stringent reference policy scenario
,,scenario,name,4,450
,,scenario,description,4,The benchmark scenario with optimal harmonized policies to reach stabilization of concentration of CO2e at 450ppm.
,,scenario,name,5,500
,,scenario,description,5,The benchmark scenario with optimal harmonized policies to reach stabilization of concentration of CO2e at 500ppm.
,,scenario,name,6,RefPol-450
,,scenario,description,6,Delayed scenario with moderate reference policies until 2020 and optimal policies towards 450 thereafter.
,,scenario,name,7,RefPol-500
,,scenario,description,7,Delayed scenario with moderate reference policies until 2020 and optimal policies towards 500 thereafter.
,,scenario,name,8,StrPol-450
,,scenario,description,8,Delayed scenario with stringent reference policies until 2020 and optimal policies towards 450 thereafter.
