factsheet,topic,attribute,subattribute,#,value
Pep1p5,project,,,,
,guiding questions,preamble,,,"The PEP project aims to answer crucial questions about the feasibility of 1.5°C scenarios, related to the feasibility of policies - contrasting immediate pricing only and scenarios with gradual ratcheting up of ambition. Further it assesses the implications of carbon dioxide removal (CDR) availability."
,,question,,1,To what extent can plausible bottom-up policy packages (sectoral policies like renewable support or efficiency targets as already observed in a number of countries) that are more ambitous than the NDCs close the emissions gap towards least-cost pathways?
,,question,,2,"Which implementability challenges (grouped into scale, speed, disruption, price impacts and efficiency)are major hurdles for different policy scenarios?"
,,question,,3,"How do they differ between scenarios based on a range of regionally differentiated bottom-up policies and scenarios with a comprehensive and harmonized carbon price only (so called ""first-best"" or ""cost-effective"" scenarios)?"
,,question,,4,What implications follow from the assumption of more strongly limited availability of carbon dioxide removal (CDR)?
,results,preamble,,,The comparison across 3 different dimensions offer a rich exploration of implementability challenges.
,,insight,,1,"A global roll-out of strengthened bottom-up policies could reduce global CO2 emissions by an additional 10 GtCO2eq in 2030 compared to NDCs. 
It would lead to emissions pathways close to the levels of cost-effective well below 2°C and 1.5°C scenarios until 2030, thereby reducing implementation challenges post 2030. "
,,insight,,2,"Comparing a gradual phase-in of a portfolio of regulatory policies with immediate cost-effective carbon pricing shows that the bottom-up policies might be less disruptive. However, they would perform worse in other dimensions. In particular, they lead to higher economic costs. Hence, such policy packages should not be viewed as alternatives to carbon pricing, but rather as complements that provide entry points to achieve the Paris climate goals."
,,insight,,3,Assuming lower availability of CDR implies faster and more disruptive near-term decarbonization.
,scenarios,preamble,,,"13 scenarios are differentiated along 3 dimensions: Near-term policy, long-term climate target, and assumption on potential  of carbon dioxide removal options (CDR). The 1.5°C target (operationalized as a budget of 400 Gt CO2 2011-2100) is only feasible with assumption of higher availability of CDR or else with immediate cost-effective policy. [Nomenclature: ""x_y_z"" with x either ""1p5C"" for the 400 Gt budget or ""2C"" for the 1000 Gt budget, y for either ""full"" or ""red""uced CDR availability, and z for the near-term policy assumption: ""eff"" means comprehensive pricing from 2025 onwards, ""goodpractice"" for Good practice policies until 2030, ""netzero"" for Net Zero policies until 2030,  and ""NDC"" for NDCs until 2030,  and comprehensive pricing thereafter."
,,scenario,name,1,1p5C_full_NDC
,,scenario,description,1,"Scenario with 400 Gt CO2 2011-2100 buget, full availability of CDR, NDC policies until 2030 and comprehensive carbon pricing thereafter"
,,scenario,name,2,1p5C_full_eff
,,scenario,description,2,"Scenario with 400 Gt CO2 2011-2100 buget, full availability of CDR,  and comprehensive carbon pricing from 2025 onwards"
,,scenario,name,3,1p5C_full_goodpractice
,,scenario,description,3,"Scenario with 400 Gt CO2 2011-2100 buget, full availability of CDR, Good Practice policies until 2030 and comprehensive carbon pricing thereafter"
,,,,4,1p5C_full_netzero
,,,,4,"Scenario with 400 Gt CO2 2011-2100 buget, full availability of CDR, Net Zero policies until 2030 and comprehensive carbon pricing thereafter"
,,,,5,1p5C_red_eff
,,,,5,"Scenario with 400 Gt CO2 2011-2100 buget, reduced availability of CDR,  and comprehensive carbon pricing from 2025 onwards"
,,,,6,2C_full_NDC
,,,,6,"Scenario with 1000 Gt CO2 2011-2100 buget, full availability of CDR, NDC policies until 2030 and comprehensive carbon pricing thereafter"
,,,,7,2C_full_eff
,,,,7,"Scenario with 1000 Gt CO2 2011-2100 buget, full availability of CDR,  and comprehensive carbon pricing from 2025 onwards"
,,,,8,2C_full_goodpractice
,,,,8,"Scenario with 1000 Gt CO2 2011-2100 buget, full availability of CDR, Good Practice policies until 2030 and comprehensive carbon pricing thereafter"
,,,,9,2C_full_netzero
,,,,9,"Scenario with 1000 Gt CO2 2011-2100 buget, full availability of CDR, Net Zero policies until 2030 and comprehensive carbon pricing thereafter"
,,,,10,2C_red_NDC
,,,,10,"Scenario with 1000 Gt CO2 2011-2100 buget, reduced availability of CDR, NDC policies until 2030 and comprehensive carbon pricing thereafter"
,,,,11,2C_red_eff
,,,,11,"Scenario with 1000 Gt CO2 2011-2100 buget, reduced availability of CDR,  and comprehensive carbon pricing from 2025 onwards"
,,,,12,2C_red_goodpractice
,,,,12,"Scenario with 1000 Gt CO2 2011-2100 buget, reduced availability of CDR, Good Practice policies until 2030 and comprehensive carbon pricing thereafter"
,,,,13,2C_red_netzero
,,,,13,"Scenario with 1000 Gt CO2 2011-2100 buget, reduced availability of CDR, Net Zero policies until 2030 and comprehensive carbon pricing thereafter"
,data sources,source,name,1,SR1.5 database
,,source,link,1,https://data.ene.iiasa.ac.at/iamc-1.5c-explorer/
,publications,reference,citation,1,Kriegler et al. (2018)
,,reference,type,1,journal article
,,reference,doi,1,10.1088/1748-9326/aac4f1
,,reference,full,1,"Kriegler, E. et al. Short term policies to keep the door open for Paris climate goals. Environ. Res. Lett. 13, 074022 (2018)."
,,reference,ris,1,"
TY  - JOUR
TI  - Short term policies to keep the door open for Paris climate goals
AU  - Kriegler, Elmar
AU  - Bertram, Christoph
AU  - Kuramochi, Takeshi
AU  - Jakob, Michael
AU  - Pehl, Michaja
AU  - Miodrag Stevanović
AU  - Höhne, Niklas
AU  - Luderer, Gunnar
AU  - Minx, Jan C.
AU  - Fekete, Hanna
AU  - Hilaire, Jérôme
AU  - Luna, Lisa
AU  - Alexander Popp
AU  - Steckel, Jan Christoph
AU  - Sterl, Sebastian
AU  - Yalew, Amsalu Woldie
AU  - Dietrich, Jan Philipp
AU  - Edenhofer, Ottmar
T2  - Environmental Research Letters
AB  - Climate policy needs to account for political and social acceptance. Current national climate policy plans proposed under the Paris Agreement lead to higher emissions until 2030 than cost-effective pathways towards the Agreements’ long-term temperature goals would imply. Therefore, the current plans would require highly disruptive changes, prohibitive transition speeds, and large long-term deployment of risky mitigation measures for achieving the agreement’s temperature goals after 2030. Since the prospects of introducing the cost-effective policy instrument, a global comprehensive carbon price in the near-term, are negligible, we study how a strengthening of existing plans by a global roll-out of regional policies can ease the implementation challenge of reaching the Paris temperature goals. The regional policies comprise a bundle of regulatory policies in energy supply, transport, buildings, industry, and land use and moderate, regionally differentiated carbon pricing. We find that a global roll-out of these policies could reduce global CO 2 emissions by an additional 10 GtCO 2 eq in 2030 compared to current plans. It would lead to emissions pathways close to the levels of cost-effective likely below 2 °C scenarios until 2030, thereby reducing implementation challenges post 2030. Even though a gradual phase-in of a portfolio of regulatory policies might be less disruptive than immediate cost-effective carbon pricing, it would perform worse in other dimensions. In particular, it leads to higher economic impacts that could become major obstacles in the long-term. Hence, such policy packages should not be viewed as alternatives to carbon pricing, but rather as complements that provide entry points to achieve the Paris climate goals.
DA  - 2018///
PY  - 2018
DO  - 10.1088/1748-9326/aac4f1
DP  - Institute of Physics
VL  - 13
IS  - 7
SP  - 074022
J2  - Environ. Res. Lett.
LA  - en
SN  - 1748-9326
UR  - http://stacks.iop.org/1748-9326/13/i=7/a=074022
Y2  - 2018/08/17/13:28:54
ER  - 

"
,models,preamble,,,
,,model,name,1,REMIND-MAgPIE
,,model,version,1,1.7-3.0
,year,,,,2018
,keywords,keyword,,1,Strengthened policies
,,keyword,,2,Implementation challenges
,,keyword,,3,Paris Agreement
,,keyword,,4,NDC
,,keyword,,5,Ratcheting-up ambition
,,,,6,Bottom-up policies
,,,,7,"implementability challenges (grouped into scale, speed, disruption, price impacts and efficiency)"
,,,,8,Carbon pricing [Immediate vs. gradual]
,,,,9,Technology availability [CDR]
,,,,10,"Cost-optimal pathways [Gap from NDCs, bottom-up policies]"
,,,,11,Gap to cost-optimal pathways
,regional coverage,region,,1,World
,,region,,2,China
,,region,,3,India
,,region,,4,USA
,,region,,5,Japan
,,region,,6,Russia
,,region,,7,EU-28
,,region,,8,"Middle East, North Africa and Caspian (MEA)"
,,region,,9,Sub-saharan Africa without ZAF (AFR)
,,region,,10,Latin America and Carribean (LAM)
,,region,,11,Other Asia (OAS)
,,region,,12,Rest of World (ROW)
,time horizon,start,,,2005
,,end,,,2100
