factsheet,topic,attribute,subattribute,#,value
UBA SMP,project,,,,
,guiding questions,preamble,,,"The study aims to contribute to the understanding of key sustainability impacts of mitigation pathways, and how they can be managed by policy choice in order to maximize benefits and minimize risks."
,,question,,1,What sustainability effects (benefits and risks) does mitigation targets of 2 and 1.5°C imply? 
,,question,,2,How does the choice of mitigation policy paradigm impact the sustainability effects (benefits and risks) of mitigation?
,,question,,3,How do different measures interact?
,results,preamble,,,The study analyses a range of crucial sustainability indicators for 2 different temperature targets achieved by 5 different policy approaches respectively. 
,,insight,,1,"Mitigation leads to a number of sustainability benefits (air pollution, cooling water requirements), but under default policies also leads to severe risks (uranium use, food and energy price increases, land requirements for bioenergy, etc.). Both benefits and risks increase if ambition is raised from 2 to 1.5°C."
,,insight,,2,"A combination of additional policies (direct sector-level regulation, early mitigation action, and lifestyle changes) can alleviate air pollution, water extraction, uranium extraction, food and energy price hikes, and dependence on negative emissions technologies, thus resulting in substantially reduced sustainability risks associated with mitigating climate change."
,,insight,,3,"Importantly, we find that these targeted policies more than compensate for most increased sustainability risks of increasing climate ambition from 2°C to 1.5°C."
,scenarios,preamble,,,"Baseline: REF_Def and REF_Sust
2°C: 2°C_Def (only carbon pricing), 2°C_regul (additional regulation on water, forest, nuclear and fossil subsidy phase-out), 2°C_early (Higher initial carbon price and slower increase thereafter), 2°C_lifesty (healthier diets and lower energy use), 2°C_Sust (combined policies)
1.5°C: 1.5°C_Def, 1.5°C_regul, 1.5°C_early, 1.5°C_lifesty, 1.5°C_Sust "
,,scenario,name,1,1p5C_Def
,,scenario,description,1,Budget of 400Gt CO2 2011-2100 with default policy of comprehensive carbon pricing only
,,scenario,name,2,1p5C_Sust
,,scenario,description,2,"Budget of 400Gt CO2 2011-2100 with sustainability set of policies (including Early Action, Lifestyle and Regulation policies)"
,,scenario,name,3,1p5C_early
,,scenario,description,3,"Budget of 400Gt CO2 2011-2100 with Early Action (exponential increase of carbon prices at 3% instead of 5, early retirement of coal)"
,,scenario,name,4,1p5C_lifesty
,,scenario,description,4,"Budget of 400Gt CO2 2011-2100 with Lifestyles policies (lower demand for energy and livestock products, lower food waste)"
,,scenario,name,5,1p5C_regul
,,scenario,description,5,"Budget of 400Gt CO2 2011-2100 with Regulation policies (nuclear phase-out, forest and water protection, etc.)"
,,scenario,name,6,2C_Def
,,scenario,description,6,Budget of 1000Gt CO2 2011-2100 with default policy of comprehensive carbon pricing only
,,scenario,name,7,2C_Sust
,,scenario,description,7,"Budget of 1000Gt CO2 2011-2100 with sustainability set of policies (including Early Action, Lifestyle and Regulation policies)"
,,scenario,name,8,2C_early
,,scenario,description,8,"Budget of 1000Gt CO2 2011-2100 with Early Action (exponential increase of carbon prices at 3% instead of 5, early retirement of coal)"
,,scenario,name,9,2C_lifesty
,,scenario,description,9,"Budget of 1000Gt CO2 2011-2100 with Lifestyles policies (lower demand for energy and livestock products, lower food waste)"
,,scenario,name,10,2C_regul
,,scenario,description,10,"Budget of 1000Gt CO2 2011-2100 with Regulation policies (nuclear phase-out, forest and water protection, etc.)"
,,scenario,name,11,REF_Def
,,scenario,description,12,No-policy baseline
,,scenario,name,12,REF_Sust
,,scenario,description,12,No-policy baseline with lifestyle policies (lower demand for energy and livestock products)
,data sources,source,name,1,SR1.5 database
,,source,link,1,https://data.ene.iiasa.ac.at/iamc-1.5c-explorer/
,publications,reference,citation,1,Bertram et al. (2018)
,,reference,type,1,journal article
,,reference,doi,1,10.1088/1748-9326/aac3ec
,,reference,full,1,"Bertram, C. et al. Targeted policies can compensate most of the increased sustainability risks in 1.5 °C mitigation scenarios. Environ. Res. Lett. 13, 064038 (2018). "
