factsheet,topic,attribute,subattribute,#,value
Advance,project,,,,
Advance,guiding questions,preamble,,,"The study aims to contribute the first multi-model assessment of Paris Agreement scenarios, exploring both the emission impacts of NDC until 2030 and strengthening scenarios that achieve the long-term targets of 2 or 1.5°C, with strengthening either after 2020 or 2030"
Advance,,question,,1,"· What energy system transformations are implied by nationally determined contributions (NDCs) for 2030, and how do they differ from transformations in cost-optimal pathways reaching the Paris Agreements (PA) long-term targets of well-below 2°C and 1.5°C?"
Advance,,question,,2,"· How much residual emissions occur in different sectors in 2°C and 1.5°C scenarios, and what are the determinants for those?"
Advance,,question,,3,· What implications does failure to strengthen ambition before 2030 have for individual energy sectors and for achievability of the long-term targets?
Advance,results,preamble,,,"Aggregate NDC ambition level is not in line with long-term Paris Agreement targets. These targets require full decarbonization of energy system, for which electrification, decarbonization of power supply and increase in low-carbon fuels are required."
Advance,,insight,,1,"Aggregate NDC ambition level is not in line with long-term Paris Agreement (PA) targets, emissions gap to cost-optimal 2°C and 1.5°C pathways in 2030 already between 9-29 Gt CO2eq."
Advance,,insight,,2,Higher ambition would only lead to modest increases of mitigation cost (not accounting for avoided damages and co-benefits).
Advance,,insight,,3,"If countries fail to strengthen ambition before 2030, they lock-in more residual fossil emissions, which leads to a higher overshot of the net emissions budgets implied by the long-term targets, so that more carbon dioxide removal (CDR) is then needed to still meet the targets. On the other hand, failure to strengthen before 2030 also compromises the ability to scale-up negative emission options at tolerable costs."
Advance,scenarios,preamble,,,"NoPOL (no-policy counterfactual baseline)
Reference (currently implemented policies, extrapolated ambition levels)
INDC (currently implemented policies and national targets until 2030)
INDC2020_1600/1000/400: strengthening of ambition after 2020 in line with long-term target to reach 2°C with 50% likelihood (1600 Gt CO2 2011-2100), 66% likelihood (1000 Gt) or returning to 1.5 by 2100 with 66% likelihood (400)
INDC2030_1600/1000/400: following NDCs until 2030 without anticipation of strengthening, then unanticipated shift to budget constraint as above
"
Advance,,scenario,name,1,NoPOL
Advance,,scenario,description,1,no-policy counterfactual baseline
Advance,,scenario,name,2,Reference
Advance,,scenario,description,2,"currently implemented policies and targets for 2020, extrapolated ambition levels"
Advance,,scenario,name,3,INDC
Advance,,scenario,description,3,"currently implemented policies and NDC targets for 2025 and 2030, extrapolated ambition levels"
Advance,,scenario,name,4,INDC2020_1600
Advance,,scenario,description,4,unanticipated strengthening of ambition after 2020 in line with long-term target to reach 2°C with 50% likelihood (1600 Gt CO2 2011-2100)
Advance,,scenario,name,5,INDC2020_1000
Advance,,scenario,description,5,unanticipated strengthening of ambition after 2020 in line with long-term target to reach 2°C with 66% likelihood (1000 Gt CO2 2011-2100)
Advance,,scenario,name,6,INDC2020_400
Advance,,scenario,description,6,unanticipated strengthening of ambition after 2020 in line with long-term target to reach 1.5°C in 2100 with 66% likelihood (400 Gt CO2 2011-2100)
Advance,,scenario,name,7,INDC2030_1600
Advance,,scenario,description,7,unanticipated strengthening of ambition after 2030 in line with long-term target to reach 2°C with 50% likelihood (1600 Gt CO2 2011-2100)
Advance,,scenario,name,8,INDC2030_1000
Advance,,scenario,description,8,unanticipated strengthening of ambition after 2030 in line with long-term target to reach 2°C with 66% likelihood (1000 Gt CO2 2011-2100)
Advance,,scenario,name,9,INDC2030_400
