factsheet,topic,attribute,subattribute,#,value
EMF30,project,,,,
EMF30,guiding questions,preamble,,,"The EMF30 project is designed to assess the impact of policies aiming at reducing short-lived climate forcers, namely CH4 and BC/OC."
,,question,,1,What is the impact of policies aiming at reducing short-lived climate forcers on emission reductions?
,results,preamble,,,Rauner et al. (in preparation): We find that the health benefits of reduced air pollution of a coal exit by far exceed mitigation costs on a global level. Taking the same coal exit path and additionally introducing a 2°C consistent GHG budget shows that aggregated co-benefits almost compensate the additional cost.
,,insight,,1,Air pollution benefits and mitigation cost are regionally very heterogeneous with India and China yielding most of the resulting synergies.
,,insight,,2,"Synergies are robust under different air pollution legislation scenarios, hence climate policy is a no-regret option for especially Asian countries."
,scenarios,preamble,,,"EMF30 consists of 12 scenarios: 1 reference scenario, 5 diagnostic scenarios and 3 air pollutant scenarios (CH4 policy scenario, BC/OC policy scenario and CH4+BC/OC scenario). The Reference and CH4+BC/OC policy scenarios are further combined with 3 climate policy scenarios (No climate policy, immediate action, slower action (INDC))."
,,scenario,name,1,ClimPolicy_V3
,,scenario,description,1,Global cumulative fossil CO2 emissions constraint of 1000 GtCO2 from 2011-2100). 
,,scenario,name,2,Reference_V3
,,scenario,description,2,"No climate policy, default model improvements in methane emission factors, default long-term pollutant emission controls."
,,scenario,name,3,SLCF_V3
,,scenario,description,3,Scenario with both methane and BC-oriented policies.
,,scenario,name,4,Slower-Action_V3
,,scenario,description,4,Scenario with slower action on greenhouse gas reductions that replicates near-term developments consistent with the “intended nationally determined contributions” (INDC).
,data sources,source,name,1,SR1.5 database
,,source,link,1,https://db1.ene.iiasa.ac.at/IPCCSR15DB/dsd?Action=htmlpage&page=welcome
,publications,reference,citation,1,"Rauner et al. (in preparation), ""Co-benefits of INDCs and ratcheting up: Reductions of air pollution health damages in major economies""."
,models,preamble,,,
,,model,name,1,REMIND
,,model,version,1,1.7
,year,,,2018,
,keywords,keyword,,1,climate change
,,keyword,,2,air pollution
,,keyword,,3,co-benefits
,,keyword,,4,short lived climate forcers 
,regional coverage,region,,1,CHN
,,region,,2,EUR
,,region,,3,IND
,,region,,4,JPN
,,region,,5,LAM
,,region,,6,MEA
,,region,,7,RUS
,,region,,8,AFR
,,region,,9,USA
,,region,,10,OAS
,,region,,11,ROW
,time horizon,start,,,2005
,,end,,,2050
