factsheet,topic,attribute,subattribute,#,value
GEA,project,,,,
GEA,guiding questions,preamble,,,"The main purpose of the GEA has been to establish a state-of-the-art assessment of the science of energy in light of the inevidable transformation that is required to address major challenges and avoiding potentially catasgtrophic future consequences for humand kind and planetary systems.  The transformation pathways developed within the framework of the GEA are designed to explore technical measures, policies, and related costs and benefits for meeting the following energy objectives:
      - Improving energy access: Universal access to electricity and clean cooking by 2030
      - Reduce air pollution and improve human health: Achieve global compliance with World Health Organization (WHO) air quality standards (PM2.5 concentration < 35 μg/m3) by 2030
      - Avoid dangerous climate change: Limit global average temperature change to 2°C above preindustrial levels with a likelihood >50%
      - Enhance energy security: Reduce energy import dependence; increase diversity and resilience of energy supply (both by 2050)
"
GEA,guiding questions,question,,1,Which are the fundamental key-messages common to the scenario ensemble?
GEA,guiding questions,question,,2,Is universal access to modern energy carriers and cleaner cooking achievable by 2030 while limiting long term global warming to 2°C?
GEA,results,preamble,,,"The pathways show that it is technically possible to achieve improved energy access , air quality, and energy security simultaneously while avoiding dangerous climate change. In fact, a number of alternative combinations of resources, technologies, and policies are found capable of attaining these objectives. From a large ensemble of possible transformations, three distinct groups of pathways (GEA-Supply, GEA-Mix, and GEA-Efficiency) have been identified and analyzed."
GEA,results,insight,,1,"Limiting climate change to to 2°C will require a technological transformation of the global energy system over the next several decades, as well as the rapid introduction of policies and fundamental political changes toward concerted and coordinated efforts to integrate global concerns into local and national policy priorities.  The GES analysis demonstrates that a sustainable future requires a transforamtion from today's energy systems to those with: (i) radical improvements in energuy systems, especially in the end-use, and (ii) greater shares of reneable energies and advanced energy systems with carbon capture and storage (CCS) for both fossil fuels and biomass."
GEA,results,insight,,2,"Achieving universal access to clean cooking fuels and electricity requires that between US$36 billion and US$41 billion be spent annually over the next two decades. In addition to furthering human development and poverty alleviation goals, universal access is necessary for attaining World Health Organization guidelines for air quality in all countries by 2030. At the same time, in order to ensure a high likelihood of limiting global warming to 2°C, global CO2 emissions need to peak by about 2020 and then be reduced 30–70% by 2050 relative to 2000. Under the GEA pathways, energy security improves in the world as a whole and in the majority of regions: imports decline and supply diversity increases."
GEA,scenarios,preamble,,,"The GEA comprises essentially a single normative scenario of the sustainability  transition.  Within  this  single  scenario,  alternative  pathways  are  developed  that  describe  transformations  toward  normative  objectives  related  to  the  environmental  impacts  of  energy  conversion  and  use,  energy  security,  and  energy  access.  All  pathways  fulfill  these  objectives by reaching specific and clear targets. For example, they all limit the future global mean temperature increase to not more than 2°C above preindustrial levels, and they all lead to almost universal access to  clean  energy  services  throughout  the  world  by  2030.  Another  feature  common  to  all  pathways  is  that  all  economic  and  demographic  changes  within  them  are  consistent  with  the  GEA’s  aspirational  goals  with respect to sustainable development. 

Three  GEA  pathway groups, labeled GEA-Efficiency, GEA-Mix, and GEA-Supply, are constructed  to  represent  different  emphases  in  terms  of  demand-side  and  supply-side  changes.  Each  group  varies  in  particular  with  respect  to  assumptions  about  the  comprehensiveness  of  demand-side  policies  to enhance efficiency, leading to pathways of comparatively low energy demand  (GEA-Efficiency),  intermediate  demand  (GEA-Mix),  and  high  demand  (GEA-Supply). Within  each  group,  a  range  of  alternative  pathways  for  the  supply-side  transformation  are  explored.  The sceanrio setup therefore results in three general branching points:
1.        Energy demand level:
           •        GEA-Efficiency (low demand)
           •        GEA-Supply (high demand)
           •        GEA-Mix (intermediate demand)
2.        The dominant transportation fuels and technologies used:
           •        Conventional Transportation (liquid fuels)
           •        Advanced Transportation (electricity / hydrogen)
3.        The diversity of the portfolio of supply-side options:
           •        Full Portfolio (all options)
           •        No CCS
           •        No BioCCS (CCS + Bio-energy)
           •        No Sinks
           •        No Nuclear
           •        No Nuclear & CCS
           •        Limited Renewables
"
GEA,scenarios,scenario,name,1,geaha_450_atr_full
GEA,scenarios,scenario,description,1,"Demand level: GEA-Supply: Pathway emphasizing supply-side transfromation at relatively high energy demand
 Longterm policy: 450 ppm CO2e (2.0°C)
 Transportation system: Advanced transportation with increased electicity and hydrogen use
 Technology restriciton: No technology restrictions"
