factsheet,topic,attribute,subattribute,#,value,,
ISIMIP2a,project,,,,,,
ISIMIP2a,guiding questions,question,,1,Model evaluation and representation of extreme events,,
ISIMIP2a,guiding questions,question,,2,How well do impact models reproduce observed variations in impacts indicators? Are we able to reproduce extreme impact events?,,
ISIMIP2a,results,preamble,,,"To investigate the question different impacts models (global water models (13), regional water models (14), crop models (14), ecosystem models (8), fishery and marine ecosystem models (5), permafrost models (3)) are forced by historically observed weather fluctuations and direct human influences such as land use changes. Simulation cover the time period from 1901 to 2012.  
",,
ISIMIP2a,results,,,1,"agriculture: ""We find that [crop models forced by observed weather variations] can explain more than 50% of the variability in wheat yields in Australia, Canada, Spain, Hungary, and Romania. For maize, weather sensitivities exceed 50% in seven countries, including the United States. The explained variance exceeds 50% for rice in Japan and South Korea and for soy in Argentina. Avoiding water stress by simulating yields assuming full irrigation shows that water limitation is a major driver of the observed variations in most of these countries."" [...] ""Since process-based crop models not only account for weather influences on crop yields, but also provide options to represent human-management measures, they could become essential tools for differentiating these drivers, and for exploring options to reduce future yield fluctuations."" (Frieler et al., Earth's Future, 2017)""",,
ISIMIP2a,results,,,2,"water (global and regional): ""Global hydrological models (GHMs) have been applied to assess global flood hazards, but their capacity to capture the timing and amplitude of peak river discharge—which is crucial in flood simulations—has traditionally not been the focus of examination."" [...] ""The [ISIMIP2a] runoff simulations were used as input for the global river routing model CaMa-Flood. The simulated daily discharge was compared to the discharge generated by each GHM [Global Hydrological Model] using its native river routing scheme. For each GHM both versions of simulated discharge were compared to monthly and daily discharge observations from 1701 GRDC stations as a benchmark. CaMa-Flood routing shows a general reduction of peak river discharge and a delay of about two to three weeks in its occurrence, likely induced by the buffering capacity of floodplain reservoirs. For a majority of river basins, discharge produced by CaMa-Flood resulted in a better agreement with observations. In particular, maximum daily discharge was adjusted, with a multi-model averaged reduction in bias over about 2/3 of the analysed basin area. The increase in agreement was obtained in both managed and near-natural basins. Overall, this study demonstrates the importance of routing scheme choice in peak discharge simulation, where CaMa-Flood routing accounts for floodplain storage and backwater effects that are not represented in most GHMs. Our study provides important hints that an explicit parameterisation of these processes may be essential in future impact studies."" (Fang et al., ERL, 2017)",,
ISIMIP2a,data sources,source,name,1,ISIMIP 2a database,,
ISIMIP2a,data sources,source,link,1,https://esg.pik-potsdam.de/search/isimip/?project=ISIMIP2a,,
ISIMIP2a,publications,reference,link,1,https://www.isimip.org/outcomes/publications,,
ISIMIP2a,models,model,name,1,3D-CMCC-CNR-BGC (forestry),,
ISIMIP2a,,,version,1,N/A,,
ISIMIP2a,,model,name,2,3D-CMCC FEM (forestry),,
ISIMIP2a,,,version,2,3D-CMCC FEM (v.5.x),,
ISIMIP2a,,model,name,3,4C (forestry),,
ISIMIP2a,,,version,3,4C 2.1,,
ISIMIP2a,,model,name,4,ANAFORE (forestry),,
