factsheet,topic,attribute,subattribute,#,value
ISIMIP2b,project,,,,
ISIMIP2b,guiding questions,question,,1,“What are the climate impacts in a 1.5 °C world”
ISIMIP2b,guiding questions,question,,2,"""What are the climate induced effects at today's 1°C of global warming compared to the effects of historical changes in other direct human influences on Impact indicators?"""
ISIMIP2b,guding questions,question,,3,"""What are the effects of climate change mitigation measures (e.g. expansion of bioenergy productions) on impact indicators when reducing greenhouse gas emission emissions from a Business as Usual scenario (RCP6.0) to a low emission scenario (RCP2.6)?"""
ISIMIP2b,results,preamble,,,"This round focuses on the impacts that are to be expected in a world with 1.5 °C, including up to 2°C, global warming. Climate input data are provided for two RCPs, the low emission RCP 2.6 (up to 2300) and business as usual emission scenario RCP 6.0 (up to 2100). For investigation of the pure climate effect, surrogate pre-industrial climate data has been provided in order to investigate the effects of climate change compared to the pre-industrial reference also considered in context of the UN climate negotiations. We consider three different groups of impact simulations: group 1: historical simulations accounting for observed changes in direct human influences (e.g. changes in land use patterns, water management etc.); group 2: future projections assuming fixed present day direct human influences; and group 3: future projections accounting for future projections of direct human influences (changes in population distributions, economic development (SSP2), and land use patterns etc.)."
ISIMIP2b,results,,,1,"Changes in the occurrence of extreme events (Lange et al., to be re-submitted): ""The effects of climate change on different types of weather-induced disasters have largely been assessed individually. However, it is the joint impact of such events that threatens long-term economic development and leads to human migration, persistence of poverty, and social de-stabilisation. Here we use synchronized climate impact simulation ensembles to quantify historical and future changes in the extent of crop failures, river floods, tropical cyclones, heatwaves, wildfires, and droughts. Results show that climate change from pre-industrial conditions to today’s 1°C global warming has almost tripled the fraction of the global population that is exposed to at least one such event per year whereas historical socioeconomic change alone would have slightly reduced this fraction. Future warming is projected to further increase global exposure approximately linearly up until 4°C. Particularly large increases are projected for low-latitude countries. Our analysis provides policy makers with a quantitative and comprehensive picture of climate change effects on the global population."""
ISIMIP2b,data sources,source,name,1,ISIMIP 2b database
ISIMIP2b,data sources,source,link,2,https://esg.pik-potsdam.de/search/isimip/?project=ISIMIP2b
,models,preamble,,,"Currently there is impact data across seven sectors simulated by 25 impact models. Simulations primarily cover the group 1 and group 2 scenarios but are ongoing and the number of available data sets is still growing. The resulting impact simulations currently cover global water simulations (8), global gridded crop model simulations (3), ecosystem simulations (5). For the first time the provided climate forcing data also allow for the analysis of tropical cyclone damages. Additional impact simulations are expected to cover and are expected to cover impacts on biodiversity, coastal infrastructure, energy, forestry, health, lakes, fisheries and marine ecosystems, and permafrost."
,,model,name,1,3D-CMCC-CNR-BGC (forestry)
,,model,version,1,v.5.4
,,model,name,2,3D-CMCC FEM (forestry)
,,model,version,2,v.5.3.3-ISIMIP
,,model,name,3,4C (forestry)
,,model,version,3,4C 2.1
,,model,name,4,ALBM (lakes global)
,,model,version,4,Arctic Lake Biogeochemistry Model v2.0
,,model,name,5,ANAFORE (forestry)
,,model,version,5,ANAFORE_PROFOUND
,,model,name,6,ArcticHYPE (water regional)
,,model,version,6,N/A
,,model,name,7,BASFOR (forestry)
,,model,version,7,N/A
,,model,name,8,BioScen1.5-MEM-GAM (terrestrial biodiversity)
,,model,version,8,N/A
,,model,name,9,BioScen1.5-MEM-RF (terrestrial biodiversity)
,,model,version,9,N/A
,,model,name,10,BioScen1.5-SDM-GAM (terrestrial biodiversity)
,,model,version,10,N/A
,,model,name,11,CARAIB (biomes)
,,model,version,11,N/A
,,model,name,12,CLM4.5 (biomes)
,,model,version,12,4.5
,,model,name,13,CLM4.5 (lakes global)
,,model,version,13,4.5
,,model,name,14,CLM4.5 (permafrost)
,,model,version,14,4.5
,,model,name,15,CLM4.5 (water global)
,,model,version,15,4.5
,,model,name,16,CLM5.0 (water global)
