factsheet,topic,attribute,subattribute,#,value
ROSE,project,,,,
,guiding questions,preamble,,,
,,question,,1,How do assumptions on fossil fuel availability and economic growth affect stabilization pathways for 450 and 550 ppm CO2eq concentrations in 2100?
,,question,,2,How does a continuation of fragmented low-ambition climate policies until 2030 affect the achievability of the 450 target?
,,question,,3,How are resource rents of fossil fuels on international markets affected by climate policy?
,results,preamble,,,
,,insight,,1,"The influence of economic growth and fossil resource assumptions on climate mitigation pathways is relatively small due to overriding requirements imposed by long-term climate targets. 
While baseline assumptions can have substantial effects on mitigation costs and carbon prices, we find that the effects of model differences and the stringency of the climate target are larger compared to that of baseline assumptions. 
We conclude that inherent uncertainties about socio-economic determinants like economic growth and fossil resource availability can be effectively dealt with in the assessment of mitigation pathways. (Kriegler et al. overview)"
,,insight,,2,"We find that after a deferral of ambitious action the 450 ppm CO2e is only achievable with a radical up-scaling of efforts after target adoption. This has severe effects on transformation pathways and exacerbates the challenges of climate stabilization, in particular for a delay of cooperative action until 2030. Specifically, reaching the target with weak near-term action implies (a) faster and more aggressive transformations of energy systems in the medium term, (b) more stranded investments in fossil-based capacities, (c) higher long-term mitigation costs and carbon prices and (d) stronger transitional economic impacts, rendering the political feasibility of such pathways questionable. (Luderer et al.)"
,,insight,,3,"Achieving ambitious climate targets will drastically reduce fossil fuel consumption, in particular the consumption of coal. Conventional oil and gas as well as non-conventional oil reserves are still exhausted to a large extent. 
We find the net present value of fossil fuel rent until 2100 at 30tril.US$ with a large share of oil and a small share of coal. This is reduced by 9 and 12tril.US$ to achieve climate stabilization at 550 and 450 ppm CO2-eq, respectively. 
This loss is, however, overcompensated by revenues from carbon pricing that are 21 and 32tril.US$, respectively. The overcompensation also holds under variations of energy demand and fossil fuel supply. (Bauer et al.)"
,scenarios,preamble,,,"Scenarios are differentiated along eight different socio-economic baseline assumptions (Default, Fast Growth, Slow Growth, High Fossil, Low Fossil, Low Oil, High Coal, High Gas). The first 5 of those are run for the baseline and 2 more climate policy assumptions (450 and 550 ppm targets). Additionally, a moderate policy scenario is run, both for the entire 21 st century and with branching off to a 450 (550) target after 2020 or 2030."
,,scenario,name,1,450 DEF
,,scenario,description,1,"Scenario achieving stabilization of GHG concentration at 450 ppm CO2eq, with default socio-economic assumption."
,,scenario,name,2,450 FS Gr
,,scenario,description,2,"Scenario achieving stabilization of GHG concentration at 450 ppm CO2eq, with assumption of faster economic growth."
,,scenario,name,3,450 FS Gr SL Con
,,scenario,description,3,"Scenario achieving stabilization of GHG concentration at 450 ppm CO2eq, with assumption of faster economic growth but slow income convergence across regions."
,,scenario,name,4,450 HI Coal
,,scenario,description,4,"Scenario achieving stabilization of GHG concentration at 450 ppm CO2eq, with assumption of high coal availability."
,,scenario,name,5,450 HI Fos
,,scenario,description,5,"Scenario achieving stabilization of GHG concentration at 450 ppm CO2eq, with assumption of high fossil fuel availability."
,,scenario,name,6,450 HI Pop
,,scenario,description,6,"Scenario achieving stabilization of GHG concentration at 450 ppm CO2eq, with assumption of fast population growth."
,,scenario,name,7,450 LO Fos
,,scenario,description,7,"Scenario achieving stabilization of GHG concentration at 450 ppm CO2eq, with assumption of low fossil fuel availability."
,,scenario,name,8,450 LO Oil
,,scenario,description,8,"Scenario achieving stabilization of GHG concentration at 450 ppm CO2eq, with assumption of low oil availability."
,,scenario,name,9,450 SL Gr
,,scenario,description,9,"Scenario achieving stabilization of GHG concentration at 450 ppm CO2eq, with assumption of slower economic growth."
,,scenario,name,10,550 DEF
,,scenario,description,10,"Scenario achieving stabilization of GHG concentration at 550 ppm CO2eq, with default socio-economic assumption."
,,scenario,name,11,550 FS Gr
,,scenario,description,11,"Scenario achieving stabilization of GHG concentration at 550 ppm CO2eq, with assumption of faster economic growth."
,,scenario,name,12,550 FS Gr SL Con
,,scenario,description,12,"Scenario achieving stabilization of GHG concentration at 550 ppm CO2eq, with assumption of faster economic growth but slow income convergence across regions."
,,scenario,name,13,550 HI Coal
,,scenario,description,13,"Scenario achieving stabilization of GHG concentration at 550 ppm CO2eq, with assumption of high coal availability."
,,scenario,name,14,550 HI Fos
,,scenario,description,14,"Scenario achieving stabilization of GHG concentration at 550 ppm CO2eq, with assumption of high fossil fuel availability."
,,scenario,name,15,550 HI Gas
