factsheet,topic,attribute,subattribute,#,value
SSP,project,,,,
SSP,guiding questions,preamble,,,"The SSPs are part of a scenario framework, established by the climate change research community in order to facilitate the integrated analysis of future climate impacts, vulnerabilities, adaptation, and mitigation. The framework is built around a matrix that combines climate forcing on one axis (as represented by the Representative Concentration Pathways (RCPs)) and socio-economic conditions on the other. Together, these two axes describe situations in which mitigation, adaptation and residual climate damage can be evaluated.

"
SSP,guiding questions,question,,1,"In the absence of climate policy, how do scenarios based on the five different SSP narratives unfold in the future?"
SSP,guiding questions,question,,2,"Across the different narratives, how does the challenge to climate mitigation compare when trying to limit global forcing levels consistent with those of the RCPs, going as low as 2.6W/m2?"
SSP,results,preamble,,,"The SSPs are based on five narratives describing alternative socio-economic developments, including sustainable development, regional rivalry, inequality, fossil-fueled development, and middle-of-the-road development. The long-term demographic and economic projections of the SSPs depict a wide uncertainty range consistent with the scenario literature. A multi-model approach was used for the elaborati"
SSP,results,insight,,1,The baseline scenarios lead to global energy consumption of 400–1200 EJ in 2100. The associated annual CO2 emissions of the baseline scenarios range from about 25 GtCO2 to more than 120 GtCO2 per year by 2100. 
SSP,results,insight,,2,"With respect to mitigation, the scenarios show that associated costs strongly depend on three factors: (1) the policy assumptions, (2) the socio-economic narrative, and (3) the stringency of the target. The carbon price for reaching the target of 2.6 W/m2 that is consistent with a temperature change limit of 2 °C, differs in the analysis thus by about a factor of three across the SSP marker scenarios. Consistent with the narratives, mitigation costs and thus the challenge for mitigation is found lower in SSP1 & SSP4 relative to SSP3 & SSP5.  Perhaps most importantly, we find that not all targets are necessarily attainable from all SSPs"
SSP,scenarios,preamble,,,"The SSPs have been developed to provide five distinctly different pathways about future socioeconomic developments as they might unfold in the absence of explicit additional policies and measures to limit climate forcing or to enhance adaptive capacity. They are intended to enable climate change research and policy analysis, and are designed to span a wide range of combinations of challenges to mitigation and adaptation to climate change.  For each SSP, a single population, education and urbanization projection was developed.  
The baseline SSP scenarios are used as the starting point for a comprehensive mitigation analysis.  The nominal RCP forcing levels of 2.6, 4.5, and 6.0 W/m2 in 2100 as the long-term climate targets for our mitigation scenarios. In addition, mitigation runs for a target of 1.9 and 3.4 W/m2 are explored.  Finally, since policies and their effectiveness can be expected to vary consistent with the underlying socioeconomic storylines, so-called Shared Policy Assumptions (SPAs) are also designed. The SPAs describe the climate mitigation policy environment for the different SSPs.
The scenario set therefore can be differentiated based on three different characteristics:
1.        Storylines:
           •        SSP1: Sustainability – Taking the Green Road (Challenge – Mitigation: Low // Adaptation: Low)
           •        SSP2: Middle of the Road (Challenge – Mitigation: Intermediate // Adaptation: Intermediate)
           •        SSP3: Regional Rivalry – A Rocky Road (Challenge – Mitigation: High // Adaptation: High)
           •        SSP4: Inequality – A Road Divided (Challenge – Mitigation: Low // Adaptation: High)
           •        SSP5: Fossil-fueled Development – Taking the Highway (Challenge – Mitigation: High // Adaptation: Low)
2.        Shared Policy Assumptions:
           •        SPA0
           •        SPA1 - (combined with SSP1, low mitigation challenge due to the combination of low baseline fossil fuel emissions, low energy demand, no delays beyond 2020, and full participation of land mitigation)
           •        SPA2 - (combined with SSP2, intermediate mitigation challenge due to intermediate assumptions for i) baseline emissions, ii) energy demand, iii) delays, and iv) land participation)
           •        SPA3 - (combined with SSP3, high mitigation challenge due to high baseline emissions, major delays, and very limited participation of land in mitigation)
           •        SPA4 - (combined with SSP4, low mitigation challenge due to no delays beyond 2020, relatively low energy demand combined with intermediate assumptions for land mitigation and intermediate assumptions for baseline emissions)
           •        SPA5 - (combined with SSP5, high mitigation challenge due to the combination of high fossil fuel baseline emissions, very high energy demand, and delays in mitigation (for some regions up to 2040)
3.        Long term radiative forcing levels by 2100:
           •        6.0 W/m2
           •        4.5 W/m2 (approx. 650ppm CO2e)
           •        3.4 W/m2 (approx. 550ppm CO2e)
           •        2.6 W/m2 (approx. 450ppm CO2e)
           •        1.9 W/m2

The resulting combinations of scenarios as follows:
SSP1 + SPA0 and SPA1 + RCP 4.5, 3.4, 2.6, 1.9
SSP2 + SPA0 and SPA2 + RCP 6.0, 4.5, 3.4, 2.6, 1.9
SSP3 + SPA0 and SPA3 + RCP 6.0, 4.5, 3.4
SSP4 + SPA0 and SPA4 + RCP 6.0, 4.5, 3.4, 2.6, 1.9
SSP5 + SPA0 and SPA5 + RCP 6.0, 4.5, 3.4, 2.6, 1.9



"
SSP,scenarios,scenario,name,1,SSP1-19
SSP,scenarios,scenario,description,1,"Storyline: 
 Sustainability – Taking the Green Road (Low challenges to mitigation and adaptation) The world shifts gradually, but pervasively, toward a more sustainable path, emphasizing more inclusive development that respects perceived environmental boundaries. Management of the global commons slowly improves, educational and health investments accelerate the demographic transition, and the emphasis on economic growth shifts toward a broader emphasis on human well-being. Driven by an increasing commitment to achieving development goals, inequality is reduced both across and within countries. Consumption is oriented toward low material growth and lower resource and energy intensity.
 Longterm policy:
 RCP forcing level 1.9W/m2 in 2100
 Shared Climate Policy Assumption:
 Policy stringency in the near term and the timing of regional participation: Early accession with global collaboration as of 2020
 Coverage of land use emissions: Effective coverage (at the level of emissions control in the energy and industrial sectors)"
SSP,scenarios,scenario,name,2,SSP1-26
SSP,scenarios,scenario,description,2,"Storyline: 
 Sustainability – Taking the Green Road (Low challenges to mitigation and adaptation) The world shifts gradually, but pervasively, toward a more sustainable path, emphasizing more inclusive development that respects perceived environmental boundaries. Management of the global commons slowly improves, educational and health investments accelerate the demographic transition, and the emphasis on economic growth shifts toward a broader emphasis on human well-being. Driven by an increasing commitment to achieving development goals, inequality is reduced both across and within countries. Consumption is oriented toward low material growth and lower resource and energy intensity.
 Longterm policy:
 RCP forcing level 2.6W/m2 in 2100
 Shared Climate Policy Assumption:
 Policy stringency in the near term and the timing of regional participation: Early accession with global collaboration as of 2020
 Coverage of land use emissions: Effective coverage (at the level of emissions control in the energy and industrial sectors)"
SSP,scenarios,scenario,name,3,SSP1-34
SSP,scenarios,scenario,description,3,"Storyline: 
 Sustainability – Taking the Green Road (Low challenges to mitigation and adaptation) The world shifts gradually, but pervasively, toward a more sustainable path, emphasizing more inclusive development that respects perceived environmental boundaries. Management of the global commons slowly improves, educational and health investments accelerate the demographic transition, and the emphasis on economic growth shifts toward a broader emphasis on human well-being. Driven by an increasing commitment to achieving development goals, inequality is reduced both across and within countries. Consumption is oriented toward low material growth and lower resource and energy intensity.
 Longterm policy:
 RCP forcing level 3.4W/m2 in 2100
 Shared Climate Policy Assumption:
 Policy stringency in the near term and the timing of regional participation: Early accession with global collaboration as of 2020
 Coverage of land use emissions: Effective coverage (at the level of emissions control in the energy and industrial sectors)"
SSP,scenarios,scenario,name,4,SSP1-45
SSP,scenarios,scenario,description,4,"Storyline: 
 Sustainability – Taking the Green Road (Low challenges to mitigation and adaptation) The world shifts gradually, but pervasively, toward a more sustainable path, emphasizing more inclusive development that respects perceived environmental boundaries. Management of the global commons slowly improves, educational and health investments accelerate the demographic transition, and the emphasis on economic growth shifts toward a broader emphasis on human well-being. Driven by an increasing commitment to achieving development goals, inequality is reduced both across and within countries. Consumption is oriented toward low material growth and lower resource and energy intensity.
 Longterm policy:
 RCP forcing level 4.5W/m2 in 2100
 Shared Climate Policy Assumption:
 Policy stringency in the near term and the timing of regional participation: Early accession with global collaboration as of 2020
 Coverage of land use emissions: Effective coverage (at the level of emissions control in the energy and industrial sectors)"
SSP,scenarios,scenario,name,5,SSP1-Baseline
SSP,scenarios,scenario,description,5,"Storyline: 
 Sustainability – Taking the Green Road (Low challenges to mitigation and adaptation) The world shifts gradually, but pervasively, toward a more sustainable path, emphasizing more inclusive development that respects perceived environmental boundaries. Management of the global commons slowly improves, educational and health investments accelerate the demographic transition, and the emphasis on economic growth shifts toward a broader emphasis on human well-being. Driven by an increasing commitment to achieving development goals, inequality is reduced both across and within countries. Consumption is oriented toward low material growth and lower resource and energy intensity.
 Longterm policy:
 No-policy
 Shared Climate Policy Assumption:
 N/A"
SSP,scenarios,scenario,name,6,SSP2-19
