name,activity,description,time-duration,grouping,could,should,framing,scenario-development,decision,quantitative,qualitative,qualitative-to-quantitative-translation,integratable-with-empirical-data,creative,evidence-based,divergent,convergent
Brainstorming,Technique,"Brainstorming is a creative thinking, participatory and interactive technique used in face-to-face and online group working sessions to generate new ideas around a specific area of interest. Aiming at removing inhibitions and breaking out of narrow and routine discussions, it allows people to think more freely and move into new areas of thought, and to propose new solutions to problems. Brainstorming is usually used in combination with other  co-production techniques and futures methods (i.e. scenarios, backcasting, morphological and structural analysis, cognitive mapping, etc.).<ul><li>Jungk, R, and Müllert, N. 1987. Future Workshops: How to Create Desirable Futures. London: Institute for Social Inventions.</li><li>Popper, R. 2008. “Foresight Methodologies.” In The Handbook of Technology Foresight: Concepts and Practice. PRIME Series on Research and Innovation Policy. Edward Elgar Publishing.</li></ul>",short,brainstorming,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,reduce
Affinity diagram (card techniques),Technique,"An affinity diagram (KJ method) is a tool for organizing qualitative data. It organizes ideas, problems, and solutions into related groups after a brainstorm. The method is used to categorize and organize a large number of fragmented uncertain and disorganized information into logical cohesive groups, where each piece of data is described on a card and several cards are grouped based on the data’s similarity.<ul><li>Finlay, J. 1994. “The Strategic Visioning Process’.” Public Administration Quarterly 18, no. 1: 64–74.</li></ul>",short,brainstorming - clustering,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,
Nominal Group Technique (card technique),Technique,"The nominal group technique (NGT) is a group process involving problem identification, solution generation, and decision making. It can be used in groups of many sizes, who want to make their decision quickly, as by a vote, but want everyone's opinions taken into account. Individuals silently write down ideas. Ideas are listed in a round-robin fashion on a flip chart, and then each idea on the list is discussed for clarification and evaluation. Individual rank-ordering or rating of ideas and voting, and following the voting process, immediate results in response to the question is available to participants so the meeting concludes having reached a specific outcome.The nominal group technique combines quantitative and qualitative data collection in a group setting.<ul><li>Delbecq, A. L., and Van de Ven, H. A. 1971. “A Group Process Model for Problem Identification and Program Planning.” The Journal of Applied Behavioral Science 7, no. 4: 466–92. https://doi.org/10.1177/002188637100700404.</li><li>Karlsen, J. E. 2014. “Design and Application for a Replicable Foresight Methodology Bridging Quantitative and Qualitative Expert Data.” European Journal of Futures Research 2, no. 1: 40. https://doi.org/10.1007/s40309-014-0040-y.</li></ul>",short,brainstorming - clustering,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,
Futures Wheel,Technique,"The Futures Wheel is a way of organizing thinking and questioning about the future––a kind of structured brainstorming. The name of a trend or event is written in the middle of a piece of paper; then small spokes are drawn wheel-like from the center. Primary impacts or consequences are written at the end of each spoke. Next, the secondary impacts of each primary impact form a second ring of the wheel. This ripple effect continues until a useful picture of the implications of the event or trend is clear. Subsequent variations of the Futures Wheel have been called the Implementation Wheel, Impact Wheel, Mind Mapping, and Webbing.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li></ul>",short,mindmapping,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,allow,reduce
Participatory multicriteria analysis,Technique,"Multi-Criteria Analysis is a prioritisation and decision-support technique specially developed for complex situations and problems, where there are multiple criteria in which to weigh up the effect of a particular intervention. The method works by asking participants to assess the importance of various evaluative criteria, and the impact of a series of options, policies or strategies in each of the criteria. MCA techniques can be used to identify a single most preferred option, to rank options, to short-list a limited number of options for subsequent detailed appraisal, or simply to distinguish acceptable from unacceptable possibilities.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Mendoza, Guillermo A, and R Prabhu. 2000. “Multiple Criteria Decision Making Approaches to Assessing Forest Sustainability Using Criteria and Indicators: A Case Study.” Forest Ecology and Management 131, no. 1–3: 107–26.</li></ul>",medium,comparison,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,reduce
SWOT Analysis,Technique,"SWOT is an assessment tool that lists the Strengths, Weaknesses, Opportunities, and Threats of a project, partnership, or product. It helps to distinguish between factors that can and can’t be influenced. SWOT is often presented in a 2×2 matrix, an overview of significant internal and external factors influencing strategies or possible futures. SWOT analysis is widely used, especially as a preliminary step in planning. The method may also be used in workshops involving a wide range of participants, and in combination with other future-oriented techniques.<ul><li>Popper, R. 2008. “Foresight Methodologies.” In The Handbook of Technology Foresight: Concepts and Practice. PRIME Series on Research and Innovation Policy. Edward Elgar Publishing.</li></ul>",short,horizon scanning,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,reduce
Participatory environmental Scanning,Methodology,"Environmental (Horizon) Scanning implies a systematic process for reviewing, capturing and monitoring the external environment to distinguish among what is constant, what changes, and what constantly changes. It is a future oriented approach to identify and understand drivers of change, trends and emerging issues. It identifies trends, emerging issues and early indicators or ""weak signals"" that suggest emerging alternative futures. Scanning techniques often include participatory workshops, expert panels, literature review, internet searches, essays on issues by experts, key person tracking and conferencing monitoring. The technique has been called 'Horizon Scanning', 'Futures Scanning Systems', 'Early Warning Systems' and 'Futures Intelligence Systems'.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Choo, C. W. 1999. “The Art of Scanning the Environment.” Bulletin of the American Society for Information Science and Technology 25, no. 3: 21–24. https://doi.org/10.1002/bult.117.</li></ul>",variable,horizon scanning,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,reduce
Cross-Impact Analysis,Methodology,"The cross-impact method is an analytical approach to the probabilities of an item in a forecasted set. Its probabilities can be adjusted in view of judgments concerning potential interactions among the forecasted items. Cross Impact Analysis is a tool to calculate relative probabilities of occurrence of scenarios based on the conditional probabilities of an event given the occurrence of any other event. The first step in a cross-impact analysis is to define the events to be included in the study. Once the event set is determined, the next step is to estimate the initial probability of each event. The next step in the analysis is to estimate the conditional probabilities. Typically, impacts are estimated in response to the question, ""If event m occurs, what is the new probability of event n?"".<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Gordon, T. J., and H. Hayward. 1968. “Initial Experiments with the Cross Impact Matrix Method of Forecasting.” Futures 1, no. 2: 100–116. https://doi.org/10.1016/S0016-3287(68)80003-5.</li></ul>",medium,matrix,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,reduce
Cross Impact Balance,Technique,"Cross-Impact-Balance analysis  is a specific cross-impact technique to validate the internal consistency of storylines (or qualitative scenarios) and to identify most internally consistent storylines. To do so, it uses numerical judgments from experts or stakeholders for state-dependent influences between drivers. CIB offers a simple tool to evaluate qualitative expert/stakeholders insights in complex multidisciplinary systems in order to construct consistent scenarios of the system state.<ul><li>Weimer-Jehle, W. 2006. “Cross-Impact Balances: A System-Theoretical Approach to Cross-Impact Analysis.” Technological Forecasting and Social Change 73, no. 4: 334–61. https://doi.org/10.1016/j.techfore.2005.06.005.</li></ul>",medium,matrix,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,reduce
Structural Analysis,Technique,"Structural analysis is a tool designed to link up ideas. It allows description of the system thanks to a matrix which links up all its constituent elements. By studying these relations, the method enables emphasizing of the variables that are essential to the system's evolution. It has the advantage of stimulating reflection within the group, and leading it to think about certain aspects that are sometimes counterintuitive. It applies to the qualitative study of extremely different systems and allows for better understanding of variables affecting system. (Structural analysis is one of the three core component techniques of the scenario framework proposed by Michel Godet, called 'prospective tool-box'.)<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Godet, M. 1993. “Structural Analysis.” Structural Analysis, n.d., 49.“Toolbox for Scenario Planning”.</li></ul>",short,matrix,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,reduce
