label,unit,group,tooltip,key,visible,type,title,system,regions,popover.content,popover.url,popover.key,popover.path
run_id,,,,run_id,FALSE,,FALSE,TRUE,,,,,
Scenario,,Meta,Scenario name,scenario,TRUE,Search,TRUE,FALSE,,,https://db1.ene.iiasa.ac.at/iamc15-api/rest/v2.1/docs,scenarios,scen_id
Model,,Meta,Model name,model,TRUE,List,FALSE,FALSE,,,https://db1.ene.iiasa.ac.at/iamc15-api/rest/v2.1/docs,models,model_id
Baseline,,Meta,Baseline scenario,metadata.baseline,TRUE,List,FALSE,FALSE,,,,,
Reference,,Meta,Reference to publication,metadata.reference,TRUE,List,FALSE,FALSE,,,,,
Project,,Meta,Project name,metadata.project,FALSE,List,FALSE,FALSE,,,https://db1.ene.iiasa.ac.at/iamc15-api/rest/v2.1/docs,project,project
Temperature Category,,Meta,Temperature category,metadata.category,FALSE,List,FALSE,FALSE,,,,,
Subcategory,,Meta,Subcategory type,metadata.subcategory,FALSE,List,FALSE,FALSE,,,,,
Exceedance Severity,,Climate,Exceedance Severity 1.5°C,metadata.exceedance severity|1.5°C,FALSE,Histogram,FALSE,FALSE,,,,,
Exceedance Years,,Climate,Exceedance Year 1.5°C,metadata.exceedance year|1.5°C,FALSE,Histogram,FALSE,FALSE,,,,,
Median Warming at Peak,°C,Climate,Median Warming at Peak (MAGICC6) [°C],metadata.median warming at peak (MAGICC6),FALSE,Histogram,FALSE,FALSE,,,,,
Median Warming at Peak (FAIR),°C,Climate,Median Warming at Peak (FAIR) [°C],metadata.median warming at peak (FAIR),FALSE,Histogram,FALSE,FALSE,,,,,
Median Warming in 2100,°C,Climate,Median Warming in 2100 (MAGICC6) [°C],metadata.median warming in 2100 (MAGICC6),FALSE,Histogram,FALSE,FALSE,,,,,
Median Warming Peak-and-Decline,°C,Climate,Median Warming Peak-and-Decline (MAGICC6) [°C],metadata.median warming peak-and-decline (MAGICC6),FALSE,Histogram,FALSE,FALSE,,,,,
Overshoot Years,,Climate,Overshoot Years at 1.5°C,metadata.overshoot years|1.5°C,FALSE,Histogram,FALSE,FALSE,,,,,
Warming at Netzero,°C,Climate,Warming at netzero (MAGICC6) [°C],metadata.warming at netzero (MAGICC6),FALSE,Histogram,FALSE,FALSE,,,,,
